Protein	Len	3	4	8	11	12	16	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value z statistic	fdr	FDRup	FDRdown
CHOYP_BRAFLDRAFT_86846.1.3|m.13594	4273	12	51	8	5	11	5	-1.202	1.202	-4.9005	4.9005	0	0.542843	0
CHOYP_BRAFLDRAFT_63459.2.3|m.27933	1098	34	65	20	17	20	10	-0.882	0.882	-4.8984	4.8984	0	0.542847	0
CHOYP_BRAFLDRAFT_201924.1.1|m.30855	299	13	28	9	2	2	0	-2.376	2.376	-4.8953	4.8953	0	0.542852	0
CHOYP_LOC100377173.1.2|m.37698	458	19	29	4	6	3	0	-1.648	1.648	-4.8334	4.8334	0	0.542968	0
CHOYP_NEMVEDRAFT_V1G97278.2.2|m.63646	771	21	36	9	8	7	5	-1.193	1.193	-4.8264	4.8264	0	0.542981	0
CHOYP_PHUM_PHUM184790.1.1|m.41715	766	14	31	12	5	7	0	-1.482	1.482	-4.7723	4.7723	0	0.543083	0
CHOYP_ADAMTS12.1.2|m.29930	1573	12	18	12	3	3	1	-1.804	1.804	-4.6275	4.6275	0	0.543351	0
CHOYP_contig_026477|m.30166	236	14	24	9	2	1	0	-2.504	2.504	-4.6269	4.6269	0	0.543352	0
CHOYP_contig_047707|m.56320	202	14	23	10	1	6	1	-1.784	1.784	-4.5882	4.5882	0	0.543421	0
CHOYP_LOC100181355.1.1|m.48652	542	42	76	42	26	28	28	-0.639	0.639	-4.5717	4.5717	0	0.54345	0
CHOYP_LOC100485485.1.1|m.27961	203	13	31	5	1	0	0	-2.919	2.919	-4.562	4.562	0	0.543467	0
CHOYP_TBA.3.6|m.29936	179	13	26	10	5	5	0	-1.492	1.492	-4.4214	4.4214	0	0.54371	0
CHOYP_BRAFLDRAFT_117858.3.3|m.61651	430	20	37	8	8	7	5	-1.161	1.161	-4.4155	4.4155	0	0.54372	0
CHOYP_COCA1.3.6|m.49360	381	10	29	5	0	0	0	-2.801	2.801	-4.36	4.36	0	0.543815	0
CHOYP_LOC100378430.1.1|m.63142	1230	36	54	25	20	21	12	-0.748	0.748	-4.3184	4.3184	0	0.543887	0
CHOYP_contig_026696|m.30395	738	14	21	7	0	0	0	-2.746	2.746	-4.2374	4.2374	0	0.544029	0
CHOYP_ISCW_ISCW019177.4.4|m.63940	176	10	15	9	1	2	0	-2.204	2.204	-4.2029	4.2029	0	0.54409	0
CHOYP_LOC100370896.4.4|m.56380	1001	33	63	32	17	26	21	-0.643	0.643	-4.1947	4.1947	0	0.544105	0
CHOYP_TEKT5.1.1|m.60031	318	19	42	16	9	12	8	-0.946	0.946	-4.1807	4.1807	0	0.54413	0
CHOYP_ATS16.2.4|m.14579	1497	11	16	12	3	3	1	-1.723	1.723	-4.0815	4.0815	0	0.544308	0
CHOYP_APLP.2.2|m.55987	5390	50	55	35	32	22	22	-0.573	0.573	-4.0707	4.0707	0	0.544327	0
CHOYP_APLP.1.2|m.5955	5461	51	55	35	32	22	22	-0.583	0.583	-4.0426	4.0426	0	0.544378	0
CHOYP_PPIB.2.4|m.40019	246	14	39	11	7	11	6	-0.965	0.965	-3.9372	3.9372	0	0.544574	0
CHOYP_LOC100374495.1.1|m.55368	213	21	62	21	17	20	17	-0.616	0.616	-3.8638	3.8638	0	0.544731	0
CHOYP_CAN5.1.1|m.42243	504	32	41	21	13	26	7	-0.688	0.688	-3.8226	3.8226	0	0.544832	0
CHOYP_contig_007998|m.9259	295	13	21	9	5	6	0	-1.278	1.278	-3.8124	3.8124	0	0.544859	0
CHOYP_contig_025149|m.28635	198	6	35	4	5	6	1	-1.297	1.297	-3.7875	3.7875	0	0.544927	0
CHOYP_LOC100372505.2.2|m.26614	201	9	16	3	0	1	0	-2.353	2.353	-3.6939	3.6939	0	0.545225	0
CHOYP_BRAFLDRAFT_246510.1.1|m.27433	157	7	14	3	0	1	0	-2.158	2.158	-3.6822	3.6822	0	0.545266	0
CHOYP_BRAFLDRAFT_129759.2.2|m.30082	191	8	16	4	0	1	0	-2.381	2.381	-3.6659	3.6659	0	0.545326	0
CHOYP_ARGI.1.2|m.3263	334	5	16	4	0	2	0	-1.898	1.898	-3.6533	3.6533	0	0.545373	0
CHOYP_LOC100375219.1.1|m.30268	428	22	33	19	14	12	7	-0.762	0.762	-3.6336	3.6336	0	0.545448	0
CHOYP_TEKT5.1.1|m.60033	238	36	54	35	22	25	21	-0.573	0.573	-3.6137	3.6137	0	0.545526	0
CHOYP_UNC-89.1.2|m.1625	1828	13	30	5	4	8	5	-1.032	1.032	-3.6056	3.6056	0	0.545558	0
CHOYP_BRAFLDRAFT_106560.13.14|m.62781	363	12	14	11	6	4	1	-1.215	1.215	-3.5949	3.5949	0	0.545601	0
CHOYP_contig_025679|m.29295	335	9	16	8	4	3	0	-1.45	1.45	-3.5936	3.5936	0	0.545606	0
CHOYP_TMEM2.3.4|m.10491	1111	5	22	1	0	1	0	-2.335	2.335	-3.5876	3.5876	0	0.54563	0
CHOYP_CARNS1.4.6|m.40244	942	14	20	1	2	5	0	-1.505	1.505	-3.5736	3.5736	0	0.545687	0
CHOYP_PHUM_PHUM596940.1.1|m.2151	821	18	41	17	7	19	9	-0.738	0.738	-3.5493	3.5493	0	0.545787	0
CHOYP_LOC101064693.1.2|m.30288	606	16	19	11	11	3	0	-1.101	1.101	-3.5437	3.5437	0	0.54581	0
CHOYP_LOC757096.1.1|m.9762	1528	8	30	6	2	5	6	-1.182	1.182	-3.5286	3.5286	0	0.545873	0
CHOYP_LOC100548534.1.1|m.26484	819	6	17	0	0	0	0	-2.136	2.136	-3.4933	3.4933	0	0.546019	0
CHOYP_contig_024582|m.27943	272	7	17	2	1	1	0	-2.243	2.243	-3.4927	3.4927	0	0.546022	0
CHOYP_TRIADDRAFT_32712.3.4|m.44104	151	9	18	3	3	3	1	-1.459	1.459	-3.4323	3.4323	0	0.546272	0
CHOYP_AKD1.2.3|m.49697	1906	18	58	19	11	21	19	-0.595	0.595	-3.4092	3.4092	0	0.546367	0
CHOYP_contig_048973|m.58107	272	7	17	6	1	4	0	-1.642	1.642	-3.4015	3.4015	0	0.546399	0
CHOYP_TVAG_355490.16.22|m.50235	967	42	39	28	26	23	15	-0.501	0.501	-3.3724	3.3724	0	0.546518	0
CHOYP_LOC100369839.2.4|m.27857	445	3	21	2	0	1	0	-2.286	2.286	-3.3655	3.3655	0	0.546547	0
CHOYP_LOC754355.1.1|m.66745	139	4	16	5	3	0	1	-1.633	1.633	-3.3444	3.3444	0	0.546633	0
CHOYP_LOC100373287.1.1|m.36226	347	16	19	14	3	11	6	-0.871	0.871	-3.3005	3.3005	0	0.546816	0
CHOYP_VOLCADRAFT_89567.1.1|m.27272	210	11	19	8	4	6	1	-1.222	1.222	-3.2775	3.2775	0	0.546913	0
CHOYP_contig_023655|m.26913	274	0	21	0	0	0	0	-2.123	2.123	-3.2678	3.2678	0	0.546954	0
CHOYP_contig_010181|m.11866	164	5	27	4	5	6	0	-1.076	1.076	-3.1835	3.1835	0	0.547332	0
CHOYP_LOC664138.1.1|m.26660	167	7	10	6	2	2	0	-1.556	1.556	-3.1831	3.1831	0	0.547334	0
CHOYP_AKD1.3.3|m.63103	1940	18	58	20	12	23	21	-0.526	0.526	-3.1679	3.1679	0	0.547407	0
CHOYP_LOC100179516.2.2|m.49937	209	5	12	5	1	2	0	-1.851	1.851	-3.1573	3.1573	0	0.547458	0
CHOYP_MDN1.6.8|m.52635	425	15	19	12	5	6	7	-0.917	0.917	-3.1569	3.1569	0	0.54746	0
CHOYP_LOC100728625.2.2|m.51928	179	10	14	6	3	3	2	-1.337	1.337	-3.1347	3.1347	0	0.547571	0
CHOYP_LOC100367205.1.1|m.24472	766	10	15	8	5	5	0	-1.092	1.092	-3.1163	3.1163	0	0.547667	0
CHOYP_CO5A2.1.1|m.28030	337	4	14	4	2	2	0	-1.532	1.532	-3.1076	3.1076	0	0.547713	0
CHOYP_LOC575509.2.2|m.63548	784	13	29	10	6	11	6	-0.781	0.781	-3.0849	3.0849	0	0.547837	0
CHOYP_LOC100183353.1.1|m.54920	220	7	17	7	4	5	1	-1.127	1.127	-3.0817	3.0817	0	0.547855	0
CHOYP_contig_008261|m.9575	174	1	19	0	0	0	0	-1.992	1.992	-3.0614	3.0614	0	0.547971	0
CHOYP_LOC100371332.1.6|m.7760	1803	6	13	8	3	3	2	-1.2	1.2	-3.0334	3.0334	0	0.548139	0
CHOYP_LOC100371590.1.1|m.64405	426	9	25	9	8	6	3	-0.921	0.921	-2.9969	2.9969	0	0.548373	0
CHOYP_contig_025827|m.29484	299	3	14	1	0	0	0	-1.903	1.903	-2.9373	2.9373	0	0.548795	0
CHOYP_LOC100366451.1.1|m.10500	875	14	36	15	8	13	13	-0.619	0.619	-2.9233	2.9233	0	0.548902	0
CHOYP_LOC101067698.2.2|m.27457	134	2	14	3	1	2	0	-1.661	1.661	-2.9201	2.9201	0	0.548927	0
CHOYP_LOC100905544.1.3|m.6504	2712	1	15	1	0	0	0	-1.86	1.86	-2.906	2.906	0	0.549038	0
CHOYP_contig_026328|m.29985	247	4	11	2	0	0	0	-1.83	1.83	-2.8977	2.8977	0	0.549105	0
CHOYP_KS6B1.1.1|m.8274	492	8	10	8	1	4	2	-1.311	1.311	-2.8918	2.8918	0	0.549153	0
CHOYP_LOC100179516.1.2|m.45110	148	6	11	3	1	2	0	-1.689	1.689	-2.8699	2.8699	0	0.549337	0
CHOYP_SCP.3.12|m.27952	179	15	30	12	9	11	8	-0.695	0.695	-2.8622	2.8622	0	0.549403	0
CHOYP_PIDD.1.1|m.54294	928	3	15	0	0	0	0	-1.985	1.985	-2.8613	2.8613	0	0.549411	0
CHOYP_contig_026975|m.30698	358	5	11	5	2	1	1	-1.741	1.741	-2.852	2.852	0	0.549493	0
CHOYP_BRAFLDRAFT_100695.1.1|m.47761	458	18	43	16	16	13	13	-0.568	0.568	-2.8519	2.8519	0	0.549493	0
CHOYP_contig_026723|m.30427	283	9	20	7	6	8	0	-0.852	0.852	-2.8472	2.8472	0	0.549535	0
CHOYP_BRAFLDRAFT_275580.2.2|m.40924	435	9	12	7	4	3	2	-1.15	1.15	-2.8438	2.8438	0	0.549566	0
CHOYP_contig_027304|m.31034	111	11	13	5	3	5	0	-1.148	1.148	-2.8306	2.8306	0	0.549685	0
CHOYP_CO4A2.1.2|m.14631	1662	6	10	3	2	0	0	-1.674	1.674	-2.8201	2.8201	0	0.549782	0
CHOYP_LOC100899149.2.2|m.29105	270	2	11	6	0	2	0	-1.614	1.614	-2.8026	2.8026	0	0.549947	0
CHOYP_DDB_G0275195.1.1|m.47584	524	25	31	19	18	15	8	-0.567	0.567	-2.8023	2.8023	0	0.54995	0
CHOYP_LOC100375784.4.6|m.27594	5258	19	44	15	10	20	14	-0.533	0.533	-2.7978	2.7978	0	0.549993	0
CHOYP_LOC100368360.1.1|m.9672	221	5	12	4	0	3	1	-1.471	1.471	-2.797	2.797	0	0.55	0
CHOYP_LOC100491886.1.1|m.26703	705	4	10	3	0	0	0	-1.876	1.876	-2.7932	2.7932	0	0.550037	0
CHOYP_SMRD1.1.2|m.1725	524	7	7	9	2	1	3	-1.338	1.338	-2.7912	2.7912	0	0.550056	0
CHOYP_CYTA.1.1|m.10540	120	4	12	1	0	0	0	-1.874	1.874	-2.7754	2.7754	0	0.550211	0
CHOYP_H2AV.1.7|m.12182	129	22	24	23	18	12	10	-0.53	0.53	-2.7618	2.7618	0	0.550347	0
CHOYP_LOC100749506.1.1|m.8951	344	9	26	12	8	6	9	-0.708	0.708	-2.7543	2.7543	0	0.550423	0
CHOYP_BRAFLDRAFT_263599.1.1|m.59010	487	13	25	7	5	10	7	-0.69	0.69	-2.7536	2.7536	0	0.55043	0
CHOYP_ACSL4.1.1|m.24576	710	9	11	3	3	2	2	-1.212	1.212	-2.7439	2.7439	0	0.550529	0
CHOYP_LOC101063890.1.1|m.7895	616	11	11	7	2	7	2	-0.961	0.961	-2.7321	2.7321	0	0.550652	0
CHOYP_NEMVEDRAFT_V1G194582.2.2|m.40726	364	7	13	3	3	2	2	-1.246	1.246	-2.7181	2.7181	0	0.550799	0
CHOYP_DP13A.2.3|m.10746	724	10	18	19	9	7	7	-0.695	0.695	-2.7174	2.7174	0	0.550806	0
CHOYP_LOC100374522.1.1|m.66943	431	9	22	9	4	9	5	-0.774	0.774	-2.7067	2.7067	0	0.55092	0
CHOYP_contig_048277|m.57151	199	2	12	5	0	2	1	-1.636	1.636	-2.7058	2.7058	0	0.55093	0
CHOYP_LOC583138.1.1|m.8990	616	12	12	6	5	6	1	-0.886	0.886	-2.6888	2.6888	0	0.551114	0
CHOYP_LOC101062578.1.1|m.56255	332	4	15	2	2	4	1	-1.128	1.128	-2.6794	2.6794	0	0.551217	0
CHOYP_LOC100882621.1.2|m.25860	1074	10	11	14	2	7	6	-0.819	0.819	-2.6772	2.6772	0	0.551241	0
CHOYP_contig_005590|m.6345	192	12	17	8	5	7	4	-0.815	0.815	-2.6715	2.6715	0	0.551304	0
CHOYP_BRAFLDRAFT_125862.1.1|m.27159	402	11	18	14	6	8	7	-0.711	0.711	-2.6674	2.6674	0	0.55135	0
CHOYP_ITB1.3.4|m.28565	542	12	14	6	5	3	4	-0.979	0.979	-2.6628	2.6628	0	0.551401	0
CHOYP_contig_017060|m.20058	262	7	15	10	6	4	3	-0.914	0.914	-2.66	2.66	0	0.551432	0
CHOYP_PKHL1.3.3|m.42452	3884	7	7	2	1	1	0	-1.712	1.712	-2.6435	2.6435	0	0.551619	0
CHOYP_DMOJ_GI23261.2.2|m.30988	856	2	12	2	1	0	0	-1.753	1.753	-2.6339	2.6339	0	0.551729	0
CHOYP_NEMVEDRAFT_V1G167853.1.2|m.20047	1301	6	22	2	7	3	2	-0.914	0.914	-2.6213	2.6213	0	0.551874	0
CHOYP_contig_024739|m.28119	312	5	9	0	0	0	0	-1.705	1.705	-2.6171	2.6171	0	0.551923	0
CHOYP_contig_008503|m.9899	124	5	8	2	1	0	0	-1.676	1.676	-2.6084	2.6084	0	0.552025	0
CHOYP_CCBL1.1.1|m.30637	446	5	13	1	0	2	0	-1.644	1.644	-2.5845	2.5845	0	0.552309	0
CHOYP_BRAFLDRAFT_263840.1.1|m.51673	321	17	26	7	8	8	9	-0.659	0.659	-2.5805	2.5805	0	0.552357	0
CHOYP_LOC100375230.1.1|m.52612	794	9	10	6	5	2	2	-1.006	1.006	-2.5776	2.5776	0	0.552392	0
CHOYP_LOC100366906.1.1|m.61901	1066	16	30	14	11	10	14	-0.511	0.511	-2.5759	2.5759	0	0.552413	0
CHOYP_DHTK1.1.1|m.8425	788	23	25	22	13	15	13	-0.514	0.514	-2.5679	2.5679	0	0.55251	0
CHOYP_LOC100372239.1.1|m.50390	569	11	21	7	4	9	6	-0.716	0.716	-2.5618	2.5618	0	0.552585	0
CHOYP_LOC582352.1.1|m.30199	685	2	13	0	0	0	0	-1.823	1.823	-2.5523	2.5523	0	0.552702	0
CHOYP_IF122.2.2|m.59794	1195	7	9	1	2	1	1	-1.517	1.517	-2.5464	2.5464	0	0.552775	0
CHOYP_NRP.1.4|m.29956	353	4	9	2	0	1	0	-1.753	1.753	-2.528	2.528	0	0.553007	0
CHOYP_BRAFLDRAFT_121927.1.1|m.47211	3214	14	32	11	12	10	9	-0.582	0.582	-2.5146	2.5146	0	0.553179	0
CHOYP_LOC592142.7.9|m.55467	475	16	13	16	9	7	7	-0.655	0.655	-2.5087	2.5087	0	0.553256	0
CHOYP_PHUM_PHUM332570.1.1|m.56283	261	9	8	9	2	7	2	-0.897	0.897	-2.5072	2.5072	0	0.553275	0
CHOYP_LOC100378816.1.1|m.10997	522	4	10	2	2	0	0	-1.475	1.475	-2.4935	2.4935	0	0.553455	0
CHOYP_SLC31.5.5|m.57886	593	8	11	5	3	5	1	-1.007	1.007	-2.4879	2.4879	0	0.55353	0
CHOYP_BRAFLDRAFT_106560.13.14|m.62780	4955	3	11	2	1	2	1	-1.455	1.455	-2.4788	2.4788	0	0.553652	0
CHOYP_contig_031126|m.35509	251	5	9	4	1	3	0	-1.325	1.325	-2.4721	2.4721	0	0.553742	0
CHOYP_LOC100640260.1.2|m.21931	597	14	24	10	9	9	7	-0.618	0.618	-2.4682	2.4682	0	0.553795	0
CHOYP_LOC100376289.1.1|m.60023	1838	13	20	14	7	12	6	-0.598	0.598	-2.4629	2.4629	0	0.553868	0
CHOYP_LOC100641267.2.2|m.57947	288	8	11	7	4	4	3	-0.871	0.871	-2.4615	2.4615	0	0.553887	0
CHOYP_contig_008452|m.9831	534	11	14	2	5	3	3	-0.882	0.882	-2.4585	2.4585	0	0.553929	0
CHOYP_RCOM_1886900.1.1|m.11248	107	5	8	6	2	3	0	-1.147	1.147	-2.4548	2.4548	0	0.55398	0
CHOYP_contig_024012|m.27306	244	8	10	7	5	4	1	-0.921	0.921	-2.4518	2.4518	0	0.554022	0
CHOYP_LOC100366575.1.1|m.29959	208	4	11	4	2	3	1	-1.18	1.18	-2.446	2.446	0	0.554103	0
CHOYP_BRAFLDRAFT_71616.2.3|m.27171	569	7	10	5	4	3	0	-1.033	1.033	-2.4446	2.4446	0	0.554123	0
CHOYP_LOC100374155.1.1|m.56570	583	7	11	7	3	5	2	-0.916	0.916	-2.4358	2.4358	0	0.554248	0
CHOYP_contig_023897|m.27203	137	5	10	4	3	1	0	-1.357	1.357	-2.4165	2.4165	0	0.554526	0
CHOYP_contig_026106|m.29754	486	0	14	0	0	0	0	-1.779	1.779	-2.4135	2.4135	0	0.554571	0
CHOYP_IQCA1.1.3|m.4290	873	3	15	2	1	3	3	-1.05	1.05	-2.4102	2.4102	0	0.554619	0
CHOYP_WDR5.2.3|m.6293	352	7	11	5	2	5	2	-0.944	0.944	-2.4087	2.4087	0	0.554641	0
CHOYP_contig_049136|m.58269	1745	2	12	5	1	2	3	-1.156	1.156	-2.3995	2.3995	0	0.554779	0
CHOYP_LOC100378083.1.3|m.26711	798	7	9	8	2	7	1	-0.878	0.878	-2.3777	2.3777	0	0.555111	0
CHOYP_LOC576665.1.2|m.10867	318	3	8	3	0	1	0	-1.659	1.659	-2.3776	2.3776	0	0.555112	0
CHOYP_LOC100906268.2.2|m.44952	161	10	16	9	6	6	6	-0.654	0.654	-2.3771	2.3771	0	0.55512	0
CHOYP_BRAFLDRAFT_127065.5.7|m.28848	307	16	24	15	8	16	8	-0.517	0.517	-2.3694	2.3694	0	0.55524	0
CHOYP_BRAFLDRAFT_265208.3.7|m.10791	643	9	13	7	5	6	1	-0.882	0.882	-2.3658	2.3658	0	0.555297	0
CHOYP_contig_009196|m.10701	143	6	7	2	0	0	0	-1.707	1.707	-2.345	2.345	0	0.55563	0
CHOYP_LOC100555907.1.1|m.27452	125	9	14	9	8	6	0	-0.758	0.758	-2.3303	2.3303	0	0.555872	0
CHOYP_PTN11.4.4|m.62828	448	5	12	5	4	3	0	-1.006	1.006	-2.3226	2.3226	0	0.556001	0
CHOYP_LOC100769755.1.1|m.59793	401	9	13	9	7	5	3	-0.7	0.7	-2.3029	2.3029	0	0.556337	0
CHOYP_SPAG16.1.1|m.51927	628	17	31	11	9	12	14	-0.5	0.5	-2.3004	2.3004	0	0.556381	0
CHOYP_LOC100691676.1.1|m.64226	201	6	5	4	2	0	0	-1.388	1.388	-2.2959	2.2959	0	0.556459	0
CHOYP_contig_024418|m.27769	250	4	7	3	0	2	1	-1.276	1.276	-2.282	2.282	0	0.556706	0
CHOYP_contig_026959|m.30676	230	3	6	5	0	2	0	-1.372	1.372	-2.272	2.272	0	0.556886	0
CHOYP_LOC100367581.3.3|m.56472	1826	6	8	0	0	2	0	-1.342	1.342	-2.2715	2.2715	0	0.556895	0
CHOYP_MO4L1.1.1|m.8106	471	13	19	17	8	12	8	-0.557	0.557	-2.2651	2.2651	0	0.557012	0
CHOYP_LOC586661.1.1|m.56660	350	3	6	3	0	1	1	-1.513	1.513	-2.2575	2.2575	0	0.557152	0
CHOYP_BRAFLDRAFT_57459.1.1|m.61613	547	5	5	5	1	2	1	-1.353	1.353	-2.2552	2.2552	0	0.557195	0
CHOYP_COX1.5.15|m.24406	243	13	11	10	6	9	2	-0.686	0.686	-2.2414	2.2414	0	0.557454	0
CHOYP_contig_010674|m.12365	427	1	10	0	0	0	0	-1.495	1.495	-2.2269	2.2269	0	0.557732	0
CHOYP_DDX46.1.1|m.52473	994	5	6	6	1	3	2	-1.058	1.058	-2.2263	2.2263	0	0.557744	0
CHOYP_LOC100752270.1.1|m.23081	267	10	19	9	7	8	5	-0.633	0.633	-2.2204	2.2204	0	0.557859	0
CHOYP_LOC100373985.1.1|m.9302	145	1	10	0	1	0	0	-1.49	1.49	-2.2171	2.2171	0	0.557923	0
CHOYP_LOC100372889.1.2|m.37506	525	2	9	1	1	1	0	-1.485	1.485	-2.2093	2.2093	0	0.558077	0
CHOYP_LIG4.1.1|m.6295	916	4	7	2	2	1	1	-1.278	1.278	-2.2075	2.2075	0	0.558113	0
CHOYP_LOC100373429.1.1|m.10007	1827	13	23	13	7	14	7	-0.514	0.514	-2.1958	2.1958	0	0.558347	0
CHOYP_BRAFLDRAFT_279978.1.1|m.30960	478	10	12	6	3	5	5	-0.788	0.788	-2.1928	2.1928	0	0.558408	0
CHOYP_HSP21.4.1.1|m.8171	438	11	15	11	8	8	3	-0.633	0.633	-2.1878	2.1878	0	0.55851	0
CHOYP_DWIL_GK17319.1.1|m.58968	156	6	14	9	4	6	3	-0.772	0.772	-2.1806	2.1806	0	0.558657	0
CHOYP_CBG11254.1.1|m.9107	102	9	11	7	5	7	0	-0.711	0.711	-2.1732	2.1732	0	0.55881	0
CHOYP_BRAFLDRAFT_93411.3.3|m.54402	2342	11	7	12	6	5	4	-0.686	0.686	-2.1642	2.1642	0	0.558998	0
CHOYP_RPB3.1.1|m.45705	274	10	6	8	6	3	1	-0.864	0.864	-2.1633	2.1633	0	0.559017	0
CHOYP_DHB14.1.1|m.13441	285	6	4	4	2	1	1	-1.318	1.318	-2.1597	2.1597	0	0.559093	0
CHOYP_LOC584062.1.1|m.62279	293	6	9	4	3	4	0	-0.887	0.887	-2.1526	2.1526	0	0.559243	0
CHOYP_VAV2.3.3|m.62875	830	4	6	6	1	4	1	-1.011	1.011	-2.1508	2.1508	0	0.559282	0
CHOYP_SMP_149390.1.1|m.8819	902	10	7	3	5	1	2	-0.937	0.937	-2.1505	2.1505	0	0.559288	0
CHOYP_MAN2B1.1.1|m.38450	1023	6	4	5	0	1	3	-1.149	1.149	-2.1466	2.1466	0	0.559371	0
CHOYP_contig_013837|m.15768	117	9	9	5	6	3	1	-0.819	0.819	-2.1408	2.1408	0	0.559496	0
CHOYP_contig_023538|m.26787	101	8	19	9	6	7	6	-0.629	0.629	-2.1277	2.1277	0	0.559781	0
CHOYP_BRAFLDRAFT_91636.1.11|m.28449	505	17	20	15	10	11	10	-0.502	0.502	-2.1191	2.1191	0	0.559969	0
CHOYP_contig_026129|m.29781	246	8	10	11	5	8	0	-0.7	0.7	-2.1117	2.1117	0	0.560133	0
CHOYP_LOC101154772.1.1|m.55397	383	5	11	2	2	4	0	-0.944	0.944	-2.11	2.11	0	0.560171	0
CHOYP_LOC100123521.1.2|m.20656	367	12	18	11	7	8	9	-0.525	0.525	-2.1012	2.1012	0	0.560368	0
CHOYP_VAV2.1.3|m.40262	893	4	8	7	1	5	2	-0.87	0.87	-2.098	2.098	0	0.56044	0
CHOYP_BRAFLDRAFT_117365.2.2|m.31681	397	1	9	0	0	0	0	-1.362	1.362	-2.0966	2.0966	0	0.560471	0
CHOYP_CCAR1.1.1|m.25430	1100	6	7	9	3	6	1	-0.82	0.82	-2.095	2.095	0	0.560507	0
CHOYP_LOC592209.1.1|m.48009	314	1	9	3	1	2	0	-1.21	1.21	-2.0882	2.0882	0	0.560661	0
CHOYP_LOC660501.1.2|m.5218	785	1	10	1	1	1	1	-1.517	1.517	-2.0851	2.0851	0	0.560731	0
CHOYP_LOC100367356.1.1|m.29181	438	12	21	12	9	9	8	-0.522	0.522	-2.0838	2.0838	0	0.560761	0
CHOYP_LOC100367352.1.1|m.27863	901	0	11	0	1	2	0	-1.259	1.259	-2.0814	2.0814	0	0.560816	0
CHOYP_LOC100378083.3.3|m.65631	787	5	6	4	1	3	0	-1.117	1.117	-2.0763	2.0763	0	0.560933	0
CHOYP_COL4A4.1.1|m.30919	221	4	9	2	2	2	0	-1.156	1.156	-2.0682	2.0682	0	0.561119	0
CHOYP_LOC100548534.1.1|m.26485	382	3	7	0	0	0	0	-1.421	1.421	-2.0664	2.0664	0	0.56116	0
CHOYP_LOC100495846.1.1|m.11305	742	11	18	6	4	9	6	-0.603	0.603	-2.0653	2.0653	0	0.561186	0
CHOYP_LOC100889738.1.1|m.41184	983	10	4	6	4	3	2	-0.801	0.801	-2.0606	2.0606	0	0.561295	0
