Protein	Len	3	4	8	11	12	16	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value z statistic	fdr	FDRup	FDRdown
CHOYP_FND2.3.4|m.40482	685	28	8	38	42	41	51	0.632	0.632	4.6443	4.6443	0	0	0.543339
CHOYP_GIGA6.1.1|m.38687	547	53	11	59	63	63	69	0.516	0.516	4.4602	4.4602	0	0	0.543549
CHOYP_CO6A3.2.5|m.39533	1769	38	11	49	51	61	55	0.576	0.576	4.3961	4.3961	0	0	0.543645
CHOYP_BRAFLDRAFT_103544.1.1|m.38439	2603	21	0	25	35	25	37	0.741	0.741	4.3209	4.3209	0	0	0.54378
CHOYP_LOC100030437.1.3|m.5994	681	39	14	48	50	60	58	0.552	0.552	4.3186	4.3186	0	0	0.543784
CHOYP_PIF.3.6|m.18904	434	19	1	26	31	29	32	0.758	0.758	4.2893	4.2893	0	0	0.543844
CHOYP_HMCN2.9.12|m.44986	1026	28	3	36	40	46	42	0.677	0.677	4.1815	4.1815	0	0	0.5441
CHOYP_CATA.1.3|m.11120	326	31	16	34	43	42	54	0.581	0.581	4.1777	4.1777	0	0	0.54411
CHOYP_contig_050645|m.60289	206	4	2	8	9	14	28	1.353	1.353	4.1742	4.1742	0	0	0.544119
CHOYP_LOC100708991.5.5|m.59991	450	6	5	9	21	17	20	1.125	1.125	4.1597	4.1597	0	0	0.544158
CHOYP_LOC587610.1.3|m.16984	716	6	3	14	20	22	19	1.025	1.025	4.0931	4.0931	0	0	0.544345
CHOYP_MTHR.1.1|m.54596	650	7	7	9	17	21	18	0.938	0.938	4.0655	4.0655	0	0	0.544426
CHOYP_LOC101068378.3.3|m.29759	1028	14	7	29	33	30	37	0.724	0.724	4.0477	4.0477	0	0	0.544478
CHOYP_LOC101169658.1.3|m.18820	469	1	0	2	9	11	26	2.614	2.614	4.0453	4.0453	0	0	0.544486
CHOYP_LOC100709262.1.2|m.17960	1317	36	14	41	44	49	53	0.502	0.502	4.0129	4.0129	0	0	0.544583
CHOYP_BRAFLDRAFT_130131.1.1|m.11020	220	0	0	0	13	10	7	2.521	2.521	4.0109	4.0109	0	0	0.544589
CHOYP_FND2.4.4|m.44570	706	17	6	22	26	33	28	0.724	0.724	3.9329	3.9329	0	0	0.544825
CHOYP_LRRX1.6.11|m.41895	724	0	0	2	7	10	11	2.113	2.113	3.9117	3.9117	0	0	0.544889
CHOYP_LOC100708991.3.5|m.40072	447	6	5	6	18	15	18	1.142	1.142	3.9002	3.9002	0	0	0.544923
CHOYP_PGBM.2.3|m.44777	733	17	0	19	22	32	23	0.764	0.764	3.8446	3.8446	0	0	0.545089
CHOYP_LOC100371881.1.2|m.3634	1686	1	0	2	4	13	10	1.981	1.981	3.8148	3.8148	0	0	0.545177
CHOYP_contig_048721|m.57810	282	0	0	0	3	5	22	2.406	2.406	3.8048	3.8048	0	0	0.545207
CHOYP_BRAFLDRAFT_270672.1.1|m.25768	403	0	0	2	7	13	7	2.112	2.112	3.7531	3.7531	0	0	0.545359
CHOYP_BRAFLDRAFT_58194.1.1|m.27050	495	10	18	23	24	37	33	0.645	0.645	3.7217	3.7217	0	0	0.545452
CHOYP_CATA.2.3|m.18454	393	18	10	20	25	28	35	0.641	0.641	3.7091	3.7091	0	0	0.545489
CHOYP_TVAG_106580.1.1|m.44429	1604	18	3	25	28	34	26	0.699	0.699	3.6406	3.6406	0	0	0.545692
CHOYP_contig_016567|m.19514	128	3	0	1	10	10	8	1.806	1.806	3.6111	3.6111	0	0	0.545781
CHOYP_contig_014958|m.17266	379	2	0	2	7	8	10	1.701	1.701	3.5702	3.5702	0	0	0.545906
CHOYP_LOC100708991.1.5|m.740	422	6	5	5	15	12	13	0.983	0.983	3.5695	3.5695	0	0	0.545908
CHOYP_CNE_1C34780.3.3|m.30615	174	7	4	8	16	17	15	0.95	0.95	3.4735	3.4735	0	0	0.546209
CHOYP_contig_017941|m.21005	2244	24	2	12	24	23	23	0.653	0.653	3.436	3.436	0	0	0.54633
CHOYP_YMS5.1.1|m.5494	1156	0	1	4	11	8	5	1.429	1.429	3.3683	3.3683	0	0	0.546555
CHOYP_BRAFLDRAFT_126943.1.3|m.6839	225	9	5	7	15	17	16	0.877	0.877	3.3188	3.3188	0	0	0.546726
CHOYP_RS9.9.13|m.44486	363	28	0	28	32	35	31	0.565	0.565	3.2145	3.2145	0	0	0.547108
CHOYP_contig_002279|m.2484	556	5	5	15	13	17	23	0.804	0.804	3.1807	3.1807	0	0	0.547239
CHOYP_contig_018956|m.22217	169	0	0	0	8	7	6	2.05	2.05	3.1623	3.1623	0	0	0.547311
CHOYP_TYRO1.6.6|m.44318	701	10	0	5	13	11	15	0.97	0.97	3.1467	3.1467	0	0	0.547374
CHOYP_TYRO1.2.6|m.42960	760	1	0	5	11	7	9	1.386	1.386	3.144	3.144	0	0	0.547385
CHOYP_KAL1.1.1|m.60996	1941	18	5	14	20	26	20	0.619	0.619	3.0953	3.0953	0	0	0.547588
CHOYP_SCP.8.12|m.57173	180	15	14	17	24	26	27	0.548	0.548	3.0719	3.0719	0	0	0.54769
CHOYP_RN213.4.13|m.27716	4568	2	0	2	2	15	5	1.579	1.579	3.0591	3.0591	0	0	0.547747
CHOYP_contig_055984|m.66583	167	18	11	21	29	26	27	0.533	0.533	3.0402	3.0402	0	0	0.547832
CHOYP_contig_004594|m.5279	257	1	0	7	8	12	9	1.237	1.237	2.9998	2.9998	0	0	0.548025
CHOYP_contig_034410|m.39066	2222	9	0	10	16	13	15	0.823	0.823	2.9409	2.9409	0	0	0.548332
CHOYP_LOC101062323.1.1|m.15918	227	2	1	3	6	11	6	1.438	1.438	2.8893	2.8893	0	0	0.548635
CHOYP_contig_039330|m.44540	694	9	0	12	16	15	15	0.779	0.779	2.8588	2.8588	0	0	0.54883
CHOYP_contig_023811|m.27063	467	3	2	7	10	12	8	0.992	0.992	2.8451	2.8451	0	0	0.548923
CHOYP_NRX4.1.1|m.8135	1189	13	5	11	19	16	18	0.653	0.653	2.8308	2.8308	0	0	0.549022
CHOYP_KCP.3.13|m.17018	307	2	2	2	6	7	8	1.323	1.323	2.8041	2.8041	0	0	0.549217
CHOYP_PM20D2.1.1|m.27186	397	0	0	5	8	7	8	1.291	1.291	2.8031	2.8031	0	0	0.549224
CHOYP_NEMVEDRAFT_V1G224038.5.5|m.50649	138	5	4	1	7	10	9	1.007	1.007	2.7968	2.7968	0	0	0.549272
CHOYP_LOC100371994.1.1|m.50098	310	6	5	10	12	13	17	0.739	0.739	2.7897	2.7897	0	0	0.549326
CHOYP_GLIPR1L1.1.1|m.41745	240	0	0	0	5	4	9	1.917	1.917	2.7767	2.7767	0	0	0.549428
CHOYP_contig_016375|m.19279	449	0	0	0	5	5	7	1.798	1.798	2.7732	2.7732	0	0	0.549455
CHOYP_BM8F.2.2|m.35731	128	3	0	1	5	8	4	1.273	1.273	2.756	2.756	0	0	0.549595
CHOYP_AMY.3.3|m.64271	526	4	5	15	15	15	16	0.684	0.684	2.7459	2.7459	0	0	0.549679
CHOYP_contig_016405|m.19312	162	0	0	1	7	5	4	1.843	1.843	2.7374	2.7374	0	0	0.549751
CHOYP_contig_015692|m.18358	141	3	0	4	6	9	9	1.154	1.154	2.7326	2.7326	0	0	0.549792
CHOYP_GIGA2.1.1|m.44916	391	12	0	21	17	22	19	0.585	0.585	2.7002	2.7002	0	0	0.550079
CHOYP_contig_053787|m.64362	625	0	0	2	3	4	12	1.661	1.661	2.6895	2.6895	0	0	0.550177
CHOYP_LOC100199379.2.2|m.63866	1227	5	0	8	9	11	10	0.812	0.812	2.6708	2.6708	0	0	0.550352
CHOYP_CSAD.1.1|m.40056	528	18	14	12	23	26	21	0.505	0.505	2.6654	2.6654	0	0	0.550404
CHOYP_LR16A.1.3|m.9037	1363	10	10	19	16	24	24	0.547	0.547	2.6618	2.6618	0	0	0.550438
CHOYP_ISCW_ISCW022925.1.2|m.61535	552	12	9	18	17	27	20	0.54	0.54	2.6462	2.6462	0	0	0.55059
CHOYP_PAR14.15.17|m.60687	990	6	6	7	10	14	13	0.716	0.716	2.6379	2.6379	0	0	0.550672
CHOYP_LOC100373170.1.1|m.10994	271	2	2	2	6	6	7	1.23	1.23	2.6226	2.6226	0	0	0.550825
CHOYP_MUC5A.1.2|m.43407	264	0	0	8	4	8	14	0.987	0.987	2.6168	2.6168	0	0	0.550884
CHOYP_ELDP2.1.2|m.39081	558	21	3	22	27	25	23	0.525	0.525	2.6128	2.6128	0	0	0.550925
CHOYP_LOC100371248.1.2|m.10238	371	3	2	5	7	11	6	0.949	0.949	2.582	2.582	0	0	0.551246
CHOYP_contig_027593|m.31285	1430	5	2	13	14	12	14	0.728	0.728	2.5471	2.5471	0	0	0.551623
CHOYP_LOC100375427.1.1|m.6282	805	10	6	9	14	18	13	0.644	0.644	2.5384	2.5384	0	0	0.551719
CHOYP_BRAFLDRAFT_121480.1.1|m.48790	553	14	3	17	17	17	22	0.538	0.538	2.5333	2.5333	0	0	0.551776
CHOYP_BRAFLDRAFT_92365.3.3|m.51160	1494	8	0	5	8	11	11	0.799	0.799	2.4955	2.4955	0	0	0.552206
CHOYP_FABP7.2.2|m.29096	141	2	2	3	6	5	9	1.091	1.091	2.4875	2.4875	0	0	0.552299
CHOYP_HSC70.1.1|m.335	195	3	2	2	3	8	8	1.102	1.102	2.485	2.485	0	0	0.552328
CHOYP_Y0777.3.3|m.60141	1616	10	6	9	13	18	13	0.618	0.618	2.4776	2.4776	0	0	0.552415
CHOYP_ISCW_ISCW023591.1.1|m.9921	470	2	1	3	5	5	9	1.25	1.25	2.4698	2.4698	0	0	0.552508
CHOYP_TRIADDRAFT_62546.1.2|m.5483	252	4	4	6	10	11	10	0.826	0.826	2.4606	2.4606	0	0	0.552618
CHOYP_BRAFLDRAFT_279625.1.1|m.51890	581	12	5	17	22	12	20	0.523	0.523	2.4589	2.4589	0	0	0.552638
CHOYP_BRAFLDRAFT_117158.2.2|m.42430	605	4	2	7	11	9	8	0.825	0.825	2.4567	2.4567	0	0	0.552665
CHOYP_BRAFLDRAFT_125501.1.1|m.30916	283	2	2	5	9	9	4	0.969	0.969	2.454	2.454	0	0	0.552697
CHOYP_LOC100903812.1.1|m.65786	885	8	6	5	11	12	14	0.734	0.734	2.4458	2.4458	0	0	0.552797
CHOYP_FABP6.2.2|m.59518	159	2	2	3	6	5	9	1.099	1.099	2.4389	2.4389	0	0	0.552881
CHOYP_LOC100030710.2.4|m.13432	4336	1	0	0	2	10	4	1.912	1.912	2.3989	2.3989	0	0	0.553384
CHOYP_LOC100910862.2.2|m.45085	277	8	7	10	15	18	12	0.61	0.61	2.3932	2.3932	0	0	0.553457
CHOYP_SERB.1.1|m.7242	227	2	2	3	7	7	7	1.186	1.186	2.3899	2.3899	0	0	0.5535
CHOYP_HMCN1.33.44|m.58938	1249	4	6	4	7	12	11	0.789	0.789	2.386	2.386	0	0	0.553551
CHOYP_PAXB1.1.2|m.42816	1386	12	9	18	17	26	18	0.502	0.502	2.3688	2.3688	0	0	0.553778
CHOYP_RN213.7.13|m.45975	3659	0	1	1	1	9	3	1.499	1.499	2.3612	2.3612	0	0	0.553879
CHOYP_LOC575161.4.5|m.42590	2226	12	0	7	12	12	13	0.664	0.664	2.3558	2.3558	0	0	0.553952
CHOYP_VOLCADRAFT_93060.1.2|m.3949	935	5	4	4	11	8	9	0.81	0.81	2.3462	2.3462	0	0	0.554082
CHOYP_BRAFLDRAFT_81609.1.1|m.94	451	6	7	18	11	16	24	0.531	0.531	2.3452	2.3452	0	0	0.554096
CHOYP_TRIADDRAFT_38448.1.1|m.27929	169	2	8	7	11	10	12	0.71	0.71	2.3385	2.3385	0	0	0.554188
CHOYP_NPC2.2.7|m.29742	151	4	3	5	8	10	8	0.828	0.828	2.3366	2.3366	0	0	0.554214
CHOYP_BRAFLDRAFT_126555.2.6|m.5075	500	2	1	0	3	7	4	1.388	1.388	2.3097	2.3097	0	0	0.554593
CHOYP_contig_023814|m.27068	597	1	2	4	6	7	6	1.082	1.082	2.3065	2.3065	0	0	0.554639
CHOYP_ELDP2.2.2|m.40194	364	7	2	8	8	13	11	0.682	0.682	2.2998	2.2998	0	0	0.554736
CHOYP_CBLN3.1.2|m.29253	598	3	5	4	8	11	6	0.781	0.781	2.299	2.299	0	0	0.554747
CHOYP_LOC662585.2.2|m.7262	5439	9	12	15	17	18	22	0.509	0.509	2.2844	2.2844	0	0	0.554961
CHOYP_contig_010639|m.12333	187	0	0	5	3	7	8	0.976	0.976	2.274	2.274	0	0	0.555116
CHOYP_contig_004993|m.5721	139	2	1	3	4	3	10	1.113	1.113	2.2659	2.2659	0	0	0.555238
CHOYP_LOC100376308.1.1|m.60595	2604	8	0	7	8	12	12	0.709	0.709	2.2617	2.2617	0	0	0.555302
CHOYP_LOC101079138.1.4|m.4320	429	2	3	3	4	10	5	0.927	0.927	2.2446	2.2446	0	0	0.555565
CHOYP_KCP.9.13|m.43409	351	13	0	8	12	17	10	0.597	0.597	2.227	2.227	0	0	0.555842
CHOYP_LOC764722.1.3|m.16471	538	10	2	7	11	9	14	0.621	0.621	2.221	2.221	0	0	0.555938
CHOYP_contig_025167|m.28650	417	1	0	3	4	8	3	1.174	1.174	2.2033	2.2033	0	0	0.556225
CHOYP_SRAP.16.18|m.58654	1816	2	0	0	4	5	6	1.43	1.43	2.196	2.196	0	0	0.556345
CHOYP_BRAFLDRAFT_89961.3.3|m.49198	180	1	3	1	2	5	8	1.109	1.109	2.1773	2.1773	0	0	0.556658
CHOYP_LOC100878391.1.1|m.28644	464	3	1	1	4	5	6	1.165	1.165	2.1691	2.1691	0	0	0.556798
CHOYP_NEMVEDRAFT_V1G235461.1.1|m.28341	257	0	0	0	1	10	0	1.434	1.434	2.1585	2.1585	0	0	0.55698
CHOYP_LOC100863242.1.1|m.9849	749	5	8	10	13	14	12	0.568	0.568	2.1554	2.1554	0	0	0.557034
CHOYP_LOC100692883.1.1|m.5437	238	1	0	1	6	3	4	1.608	1.608	2.1507	2.1507	0	0	0.557116
CHOYP_LOC100175867.1.1|m.48982	429	0	0	0	1	3	7	1.396	1.396	2.1461	2.1461	0	0	0.557197
CHOYP_LOC100372879.1.3|m.18886	544	0	0	0	3	5	3	1.404	1.404	2.1459	2.1459	0	0	0.5572
CHOYP_LOC662543.1.1|m.39811	911	7	4	9	7	15	14	0.595	0.595	2.1441	2.1441	0	0	0.557232
CHOYP_LOC100374280.1.1|m.17385	492	0	0	2	3	0	9	1.264	1.264	2.1355	2.1355	0	0	0.557384
CHOYP_contig_018645|m.21889	254	0	0	4	3	8	5	1.062	1.062	2.1308	2.1308	0	0	0.557468
CHOYP_LOC579946.7.24|m.39737	1071	3	0	3	6	7	5	1.012	1.012	2.1269	2.1269	0	0	0.557538
CHOYP_LOC577931.3.3|m.35020	3394	4	5	4	6	7	13	0.746	0.746	2.1248	2.1248	0	0	0.557576
CHOYP_contig_010226|m.11916	319	3	1	6	7	7	7	0.795	0.795	2.1118	2.1118	0	0	0.557812
CHOYP_HPGD.1.3|m.50258	260	5	5	6	9	12	7	0.639	0.639	2.1109	2.1109	0	0	0.557828
CHOYP_LOC100642881.1.1|m.14183	897	4	4	5	10	13	3	0.748	0.748	2.1095	2.1095	0	0	0.557854
CHOYP_AGAP_AGAP005057.1.1|m.62428	325	0	0	2	3	4	5	1.2	1.2	2.1046	2.1046	0	0	0.557944
CHOYP_LOC101069440.3.3|m.28439	361	0	0	0	4	4	3	1.493	1.493	2.1041	2.1041	0	0	0.557953
CHOYP_CPIPJ_CPIJ007723.3.4|m.30316	389	3	1	3	6	8	4	0.98	0.98	2.0979	2.0979	0	0	0.558068
CHOYP_BRAFLDRAFT_57552.1.1|m.8199	862	2	2	2	2	10	4	1.03	1.03	2.0935	2.0935	0	0	0.558149
CHOYP_LOC100720440.1.2|m.11473	1137	7	8	11	13	13	15	0.508	0.508	2.0933	2.0933	0	0	0.558153
CHOYP_LOC564392.1.1|m.29701	441	0	2	0	3	3	6	1.217	1.217	2.0885	2.0885	0	0	0.558243
CHOYP_BRAFLDRAFT_226345.1.1|m.55555	674	9	3	7	11	11	12	0.626	0.626	2.0802	2.0802	0	0	0.558399
CHOYP_LOC100377864.1.1|m.33298	417	1	0	1	5	4	2	1.435	1.435	2.0784	2.0784	0	0	0.558433
CHOYP_contig_028345|m.32285	1106	2	0	0	5	4	3	1.264	1.264	2.0778	2.0778	0	0	0.558445
CHOYP_AAEL_AAEL008069.1.2|m.58164	583	6	7	11	8	15	17	0.553	0.553	2.0709	2.0709	0	0	0.558576
CHOYP_ECD.1.1|m.61798	550	2	1	5	6	5	6	0.799	0.799	2.0654	2.0654	0	0	0.558681
CHOYP_DCDC2.3.7|m.36589	714	3	1	4	4	9	5	0.878	0.878	2.0563	2.0563	0	0	0.558857
CHOYP_C1QL4L.6.7|m.26358	361	0	2	1	4	5	3	1.228	1.228	2.048	2.048	0	0	0.559019
CHOYP_BRAFLDRAFT_60200.1.3|m.22202	219	7	7	8	11	13	13	0.559	0.559	2.0283	2.0283	0	0	0.559408
CHOYP_contig_024742|m.28122	463	4	1	5	9	8	3	0.766	0.766	2.017	2.017	0	0	0.559635
CHOYP_LOC100535716.2.3|m.39162	470	13	2	7	11	13	13	0.545	0.545	2.0095	2.0095	0	0	0.559787
